x,y,z,diameter_um,mass_kg,active,deposition_time_s,deposition_x,deposition_y,deposition_z,drift_distance_m,status
8.519026,-0.13053091,0.045934927,157.34825,2.0397866e-09,0,3.64,8.519026,-0.13053091,0.0,8.520025,deposited
3.5808537,-0.119872354,0.044623934,285.6541,1.2204515e-08,0,1.65,3.5808537,-0.119872354,0.0,3.5828595,deposited
4.839551,-0.08857087,0.0438195,232.05043,6.5425354e-09,0,2.15,4.839551,-0.08857087,0.0,4.8403616,deposited
2.6971455,0.012954258,0.03930741,354.479,2.332225e-08,0,1.23,2.6971455,0.012954258,0.0,2.6971767,deposited
4.994469,-0.04768705,0.04919234,224.23633,5.9036e-09,0,2.22,4.994469,-0.04768705,0.0,4.994697,deposited
2.3692636,0.12095738,0.04272908,373.51166,2.7284214e-08,0,1.14,2.3692636,0.12095738,0.0,2.3723493,deposited
4.739957,0.08565073,0.04524093,235.8992,6.873507e-09,0,2.09,4.739957,0.08565073,0.0,4.740731,deposited
5.712717,-0.039909214,0.04698087,207.53941,4.6805915e-09,0,2.48,5.712717,-0.039909214,0.0,5.712857,deposited
7.2352176,0.010787315,0.044925064,175.57863,2.8340919e-09,0,3.11,7.2352176,0.010787315,0.0,7.2352257,deposited
20.393566,0.07981527,0.12106756,44.636,4.65645e-11,0,-1.0,0.0,0.0,0.0,0.0,drift_lost
8.466878,0.04344168,0.047922276,155.13972,1.9550963e-09,0,3.66,8.466878,0.04344168,0.0,8.466989,deposited
4.549824,-0.04407955,0.04647305,239.47246,7.190609e-09,0,2.04,4.549824,-0.04407955,0.0,4.550038,deposited
3.5014753,0.08461256,0.042276256,283.3274,1.1908709e-08,0,1.63,3.5014753,0.08461256,0.0,3.5024974,deposited
3.5819619,-0.046400405,0.04258881,278.50998,1.1311528e-08,0,1.66,3.5819619,-0.046400405,0.0,3.5822625,deposited
2.3554301,-0.09245587,0.037174575,369.61987,2.6440208e-08,0,1.18,2.3554301,-0.09245587,0.0,2.357244,deposited
